q;vol;cpc;db;src;cluster;geo;reason
villa holidays in greece;720;1.79;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in corfu greece;720;1.87;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas in greece with pool;720;1.68;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
kassiopi corfu greece;720;1.13;uk;placenames-uk.csv;other;island_region;resort_placename
one and only kea island;590;1.51;uk;semrush-volumes.csv;other;country;named_resort
dana villas santorini greece;590;0.82;uk;fullsearch-uk-villa.csv;property;island_region;named_resort
greece holidays villas;590;1.79;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
large villas in greece;590;2.03;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
rent villa mykonos greece;590;4.3;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villa hire greece;590;1.37;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in greece with private pool near beach;590;1.5;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
lindos rhodes greece;590;1.19;uk;placenames-uk.csv;other;district;resort_placename
oia santorini greece;590;0.8;uk;placenames-uk.csv;other;island_region;resort_placename
acharavi corfu greece;590;1.35;uk;placenames-uk.csv;other;island_region;resort_placename
troulos skiathos greece;590;1.17;uk;placenames-uk.csv;other;island_region;resort_placename
exclusive villas greece;480;3.36;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
greece villa rentals;480;1.72;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
mykonos greece villa rentals;480;4.3;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
private villas in greece;480;1.68;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
tui villas greece;480;1.13;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa for rent corfu greece;480;1.74;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villa rental greece;480;1.72;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in chania crete greece;480;2.2;uk;fullsearch-uk-villa.csv;property;district;villa_holiday
villas in crete greece;480;1.89;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas in crete greece to rent;480;2.12;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas in greece for rent;480;1.72;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in rhodes greece;480;1.39;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas in santorini greece;480;0.9;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas skiathos greece;480;1.53;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
sidari corfu greece;480;1.18;uk;placenames-uk.csv;other;island_region;resort_placename
beachfront villa with private pool greece;390;1.58;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
cheap villas in greece;390;1.0;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
holiday villa greece;390;1.79;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
james villas greece;390;1.62;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
large villas in greece with private pool;390;1.84;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
luxury villa greece;390;3.36;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
luxury villa rental greece;390;3.98;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
mykonos villas greece;390;3.13;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villa corfu greece;390;1.87;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villa in greece with pool;390;1.4;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa in greece with private pool;390;1.76;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in greece on the beach;390;1.8;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in kos greece;390;1.44;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas in lindos greece;390;1.26;uk;fullsearch-uk-villa.csv;property;district;villa_holiday
villas to rent greece;390;1.36;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
rethymno crete greece;390;1.45;uk;placenames-uk.csv;other;district;resort_placename
fira santorini greece;390;1.31;uk;placenames-uk.csv;other;island_region;resort_placename
argostoli kefalonia greece;390;1.27;uk;placenames-uk.csv;other;island_region;resort_placename
kolymbia rhodes greece;390;1.21;uk;placenames-uk.csv;other;island_region;resort_placename
kassandra halkidiki greece;390;1.03;uk;placenames-uk.csv;other;island_region;resort_placename
move to greece from uk;320;0.85;uk;fullsearch-uk-move.csv;life;country;off_topic
beach villas greece;320;1.8;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
cheap villas in greece with private pool;320;1.12;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
greece luxury villas;320;3.36;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
greece villa with pool;320;1.25;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
greece villas for rent;320;1.36;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
last minute villas greece;320;1.79;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa plus greece;320;0.72;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villa rental crete greece;320;2.12;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas for rent in crete greece;320;1.25;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas for rent in greece;320;1.72;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
villas in lefkada greece;320;2.58;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
villas in skala kefalonia greece;320;1.74;uk;fullsearch-uk-villa.csv;property;district;villa_holiday
villas with private pools in kefalonia greece;320;2.04;uk;fullsearch-uk-villa.csv;property;island_region;villa_holiday
plaka milos greece;320;1.33;uk;placenames-uk.csv;other;island_region;resort_placename
ornos mykonos greece;320;1.7;uk;placenames-uk.csv;other;island_region;resort_placename
enfia;260;0.0;us;semrush-volumes.csv;money;country;off_topic
best places to live in greece;260;1.14;us;semrush-volumes.csv;life;country;off_topic
beachfront villas greece;260;1.31;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
best villas in greece;260;3.29;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
family villas in greece;260;2.08;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
greece villa holidays with flights;260;1.36;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
greece villas with private pool;260;1.76;uk;fullsearch-uk-villa.csv;property;country;villa_holiday
paleokastritsa corfu greece;260;1.19;uk;placenames-uk.csv;other;island_region;resort_placename
properties in greece;210;0.45;uk;semrush-fullsearch-uk.csv;property;country;off_topic
rent a house in greece;210;0.76;uk;fullsearch-uk-house.csv;property;country;rental_not_buy
nidri lefkada greece;210;1.44;uk;placenames-uk.csv;other;island_region;resort_placename
amanzoe porto heli;170;1.81;us;semrush-volumes.csv;other;district;named_resort
vasiliki lefkada greece;170;1.49;uk;placenames-uk.csv;other;island_region;resort_placename
paros real estate;140;0.43;us;semrush-volumes.csv;property;island_region;homonym
property to rent in greece;140;0.49;uk;semrush-fullsearch-uk.csv;property;country;rental_not_buy
how to move to greece from uk;140;0.74;uk;fullsearch-uk-move.csv;life;country;off_topic
agios prokopios naxos greece;140;1.21;uk;placenames-uk.csv;other;island_region;resort_placename
ermoupoli syros greece;140;1.35;uk;placenames-uk.csv;other;island_region;resort_placename
kalamata messinia greece;140;1.32;uk;placenames-uk.csv;other;district;resort_placename
enfia;110;0.0;uk;semrush-volumes.csv;money;country;off_topic
best places to live in greece;110;0.64;uk;semrush-volumes.csv;life;country;off_topic
move to greece;110;0.93;uk;fullsearch-uk-move.csv;life;country;off_topic
heraklion crete greece;110;0.78;uk;placenames-uk.csv;other;district;resort_placename
sithonia halkidiki greece;110;1.18;uk;placenames-uk.csv;other;island_region;resort_placename
koukounaries skiathos greece;110;1.85;uk;placenames-uk.csv;other;island_region;resort_placename
sivota epirus greece;110;1.01;uk;placenames-uk.csv;other;district;resort_placename
cheapest golden visa in europe;90;1.47;us;semrush-volumes.csv;visa;country;no_anchor
amanzoe porto heli;90;1.86;uk;semrush-volumes.csv;other;district;named_resort
property to rent greece;90;0.5;uk;semrush-fullsearch-uk.csv;property;country;rental_not_buy
houses for rent in mykonos greece;90;1.31;uk;fullsearch-uk-house.csv;property;island_region;rental_not_buy
can i move to greece from uk;90;0.57;uk;fullsearch-uk-move.csv;life;country;off_topic
how to move to greece;90;0.73;uk;fullsearch-uk-move.csv;life;country;off_topic
spitogatos real estate greece;90;0.98;us;fullsearch-us-realestate.csv;property;country;named_resort
chania crete greece;90;0.95;uk;placenames-uk.csv;other;district;resort_placename
agios nikolaos crete greece;90;1.2;uk;placenames-uk.csv;other;island_region;resort_placename
kardamena kos greece;90;1.11;uk;placenames-uk.csv;other;island_region;resort_placename
nea moudania halkidiki greece;90;1.26;uk;placenames-uk.csv;other;island_region;resort_placename
costa navarino messinia greece;90;1.18;uk;placenames-uk.csv;other;district;resort_placename
voula attica greece;90;1.11;uk;placenames-uk.csv;other;district;resort_placename
international schools greece;70;0.0;us;semrush-volumes.csv;life;country;off_topic
cheap properties in greece;70;0.31;uk;semrush-fullsearch-uk.csv;property;country;off_topic
cheap houses for rent in greece long term;70;0.28;uk;fullsearch-uk-house.csv;property;country;rental_not_buy
houses for rent in greece;70;0.58;uk;fullsearch-uk-house.csv;property;country;rental_not_buy
greece ny real estate;70;0.22;us;fullsearch-us-realestate.csv;property;country;greece_ny
real estate agents greece ny;70;1.25;us;fullsearch-us-realestate.csv;legal;country;greece_ny
parikia paros greece;70;1.43;uk;placenames-uk.csv;other;island_region;resort_placename
ela tinos;50;0.77;uk;semrush-volumes.csv;other;island_region;off_topic
houses to rent in greece;50;0.58;uk;fullsearch-uk-house.csv;property;country;rental_not_buy
get paid to move to greece;50;1.27;uk;fullsearch-uk-move.csv;life;country;viral_news
novak djokovic officially confirms his permanent family move to greece;50;0.0;uk;fullsearch-uk-move.csv;life;country;celebrity
assisted living in greece ny;50;2.98;us;fullsearch-us-living.csv;life;country;greece_ny
real estate greece ny;50;0.08;us;fullsearch-us-realestate.csv;property;country;greece_ny
can you move to greece from uk;40;0.47;uk;fullsearch-uk-move.csv;life;country;off_topic
how can i move to greece;40;0.73;uk;fullsearch-uk-move.csv;life;country;off_topic
why did djokovic move to greece;40;0.0;uk;fullsearch-uk-move.csv;life;country;celebrity
senior living in greece ny;40;1.76;us;fullsearch-us-living.csv;life;country;greece_ny
best greek island to live on;30;0.0;us;semrush-volumes.csv;life;island_region;off_topic
kos real estate;30;0.0;uk;semrush-volumes.csv;property;island_region;homonym
best golden visa europe;30;0.98;uk;semrush-volumes.csv;visa;country;no_anchor
cheapest country to buy property in europe;30;0.0;uk;semrush-volumes.csv;choice;country;no_anchor
houses for rent in greece long term;30;0.29;uk;fullsearch-uk-house.csv;property;country;rental_not_buy
tom hanks house in antiparos greece;30;0.0;uk;fullsearch-uk-house.csv;property;island_region;celebrity
getting paid to move to greece;30;1.27;uk;fullsearch-uk-move.csv;life;country;viral_news
is it easy to move to greece from uk;30;0.8;uk;fullsearch-uk-move.csv;life;country;off_topic
move to antikythera greece;30;0.29;uk;fullsearch-uk-move.csv;life;country;viral_news
why has djokovic moved to greece;30;0.0;uk;fullsearch-uk-move.csv;other;country;celebrity
living in ancient greece;30;0.0;us;fullsearch-us-living.csv;life;country;ancient
apollonia sifnos greece;30;1.13;uk;placenames-uk.csv;other;island_region;resort_placename
kos real estate;20;1.07;us;semrush-volumes.csv;property;island_region;homonym
afm number greece;20;0.0;us;semrush-volumes.csv;other;country;off_topic
greece cadastre;20;0.0;us;semrush-volumes.csv;legal;country;off_topic
best golden visa europe;20;1.48;us;semrush-volumes.csv;visa;country;no_anchor
international schools in athens;20;0.76;us;semrush-volumes.csv;life;city;off_topic
working remotely from greece;20;0.0;us;semrush-volumes.csv;life;country;off_topic
best country to buy property in europe;20;0.0;us;semrush-volumes.csv;choice;country;no_anchor
cheapest country to buy property in europe;20;0.0;us;semrush-volumes.csv;choice;country;no_anchor
ela tinos;20;0.0;us;semrush-volumes.csv;other;island_region;off_topic
argyroupoli athens;20;0.0;us;semrush-volumes.csv;other;city;off_topic
greca developments;20;0.0;us;semrush-volumes.csv;other;country;no_anchor
the ellinikon riviera tower;20;0.0;us;semrush-volumes.csv;other;district;off_topic
costa navarino residences;20;1.37;us;semrush-volumes.csv;other;district;off_topic
paros real estate;20;0.78;uk;semrush-volumes.csv;property;island_region;homonym
afm number greece;20;0.0;uk;semrush-volumes.csv;other;country;off_topic
greece cadastre;20;0.0;uk;semrush-volumes.csv;legal;country;off_topic
cheapest golden visa in europe;20;1.47;uk;semrush-volumes.csv;visa;country;no_anchor
international schools in athens;20;0.73;uk;semrush-volumes.csv;life;city;off_topic
best greek island to live on;20;0.0;uk;semrush-volumes.csv;life;island_region;off_topic
working remotely from greece;20;0.0;uk;semrush-volumes.csv;life;country;off_topic
best country to buy property in europe;20;2.78;uk;semrush-volumes.csv;choice;country;no_anchor
argyroupoli athens;20;0.0;uk;semrush-volumes.csv;other;city;off_topic
greca developments;20;0.0;uk;semrush-volumes.csv;other;country;no_anchor
the ellinikon riviera tower;20;0.0;uk;semrush-volumes.csv;other;district;off_topic
costa navarino residences;20;1.33;uk;semrush-volumes.csv;other;district;off_topic
antikythera greece get paid to move there;20;0.0;uk;fullsearch-uk-move.csv;life;country;viral_news
antikythera greece pay to move;20;0.0;uk;fullsearch-uk-move.csv;life;country;viral_news
apply to move to antikythera greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;viral_news
can a uk citizen move to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;off_topic
can i move to greece;20;0.63;uk;fullsearch-uk-move.csv;life;country;off_topic
does greece pay you to move there;20;0.0;uk;fullsearch-uk-move.csv;life;country;viral_news
how easy is it to move to greece from uk;20;0.77;uk;fullsearch-uk-move.csv;life;country;off_topic
how much money do you need to move to greece;20;0.0;uk;fullsearch-uk-move.csv;life;country;off_topic
how to move to greece permanently;20;0.8;uk;fullsearch-uk-move.csv;life;country;off_topic
i want to move to greece;20;1.25;uk;fullsearch-uk-move.csv;life;country;off_topic
is greece a good place to move to;20;0.0;uk;fullsearch-uk-move.csv;life;country;off_topic
move to greece from usa;20;0.0;uk;fullsearch-uk-move.csv;life;country;off_topic
is tom hanks living in greece;20;0.0;us;fullsearch-us-living.csv;life;country;celebrity
djokovic living in greece;20;0.0;us;fullsearch-us-living.csv;life;country;celebrity
living conditions in ancient greece;20;0.0;us;fullsearch-us-living.csv;life;country;ancient
anavyssos attica greece;20;1.04;uk;placenames-uk.csv;other;district;resort_placename
loutraki corinthia greece;20;0.88;uk;placenames-uk.csv;other;district;resort_placename
chora naxos greece;20;0.88;uk;placenames-uk.csv;other;island_region;resort_placename
ellinikon project athens;10;0.0;us;semrush-volumes.csv;other;district;off_topic
international schools greece;10;0.0;uk;semrush-volumes.csv;life;country;off_topic
solena greece;10;0.0;uk;semrush-volumes.csv;other;country;off_topic
ellinikon project athens;10;0.0;uk;semrush-volumes.csv;other;district;off_topic
tsilivi zakynthos greece;10;1.13;uk;placenames-uk.csv;other;island_region;resort_placename
pelion volos greece;10;0.0;uk;placenames-uk.csv;other;island_region;resort_placename
chora mykonos greece;10;0.0;uk;placenames-uk.csv;other;island_region;resort_placename
paros property investment;0;0.0;us;semrush-volumes.csv;investment;island_region;homonym
paros property investment;0;0.0;uk;semrush-volumes.csv;investment;island_region;homonym
