q;vol;cpc;db;src;cluster;geo;reason
property in greece;260;0.53;us;semrush-volumes.csv;property;country;
greek property for sale;260;0.27;us;semrush-volumes.csv;property;country;
houses for sale in corfu greece;260;0.19;us;semrush-volumes.csv;property;island_region;
greece residency by investment;260;2.16;us;semrush-volumes.csv;visa;country;
property for sale in lefkada greece;260;0.18;uk;semrush-volumes.csv;property;island_region;
living in greece;260;0.76;uk;semrush-volumes.csv;life;country;
moving to greece;260;0.93;uk;semrush-volumes.csv;life;country;
crete greece property for sale;260;0.15;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale in greece crete;260;0.13;uk;semrush-fullsearch-uk.csv;property;island_region;
property in greece corfu;260;0.29;uk;semrush-fullsearch-uk.csv;property;island_region;
cheap houses for sale in greece near beach;260;0.19;uk;fullsearch-uk-house.csv;property;country;
invest in greece real estate;260;1.6;us;fullsearch-us-realestate.csv;investment;country;
property for sale in greece;260;0.17;au;secondary;property;country;
greece golden visa;260;1.48;ca;secondary;visa;country;
cost of living in greece;260;0.27;ca;secondary;life;country;
property for sale greece;210;0.29;us;semrush-volumes.csv;property;country;
mykonos real estate;210;0.28;us;semrush-volumes.csv;property;island_region;
houses for sale in mykonos greece;210;0.28;us;semrush-volumes.csv;property;island_region;
santorini real estate;210;0.26;us;semrush-volumes.csv;property;island_region;
apartments for sale in greece;210;0.23;uk;semrush-volumes.csv;property;country;
buy house in greece;210;0.38;uk;semrush-volumes.csv;property;country;
land for sale in greece;210;0.22;uk;semrush-volumes.csv;property;country;
houses for sale in rhodes greece;210;0.2;uk;semrush-volumes.csv;property;island_region;
property for sale in peloponnese greece;210;0.24;uk;semrush-volumes.csv;property;island_region;
property for sale in skopelos greece;210;0.08;uk;semrush-volumes.csv;property;island_region;
greece digital nomad visa;210;2.92;uk;semrush-volumes.csv;visa;country;
greece property;210;0.45;uk;semrush-fullsearch-uk.csv;property;country;
property for sale in paxos greece;210;1.26;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale kefalonia greece;210;0.16;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale lefkada greece;210;0.18;uk;semrush-fullsearch-uk.csv;property;island_region;
house for sale in crete greece;210;0.15;uk;fullsearch-uk-house.csv;property;island_region;
houses for sale in greece islands;210;0.2;uk;fullsearch-uk-house.csv;property;country;
greece golden visa expansion;210;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa news;210;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
cost of living in greece vs usa;210;0.0;us;fullsearch-us-living.csv;life;country;
athens greece real estate;210;0.33;us;fullsearch-us-realestate.csv;property;city;
crete greece real estate;210;0.16;us;fullsearch-us-realestate.csv;property;island_region;
real estate in greece europe;210;0.26;us;fullsearch-us-realestate.csv;property;country;
homes for sale in greece;210;0.14;au;secondary;property;country;
greece real estate;210;0.13;au;secondary;property;country;
buy property in greece;210;0.15;au;secondary;property;country;
golden visa greece;210;1.49;au;secondary;visa;country;
property for sale in greece;210;0.11;ca;secondary;property;country;
buy property in greece;210;0.1;ca;secondary;property;country;
golden visa greece;210;1.76;ca;secondary;visa;country;
buy house in greece;170;0.39;us;semrush-volumes.csv;property;country;
land for sale in greece;170;0.21;us;semrush-volumes.csv;property;country;
property for sale in crete greece;170;0.13;us;semrush-volumes.csv;property;island_region;
cost of living in athens;170;0.0;us;semrush-volumes.csv;life;city;
greek property;170;0.45;uk;semrush-volumes.csv;property;country;
property for sale in rhodes greece;170;0.26;uk;semrush-volumes.csv;property;island_region;
property for sale in santorini greece;170;0.45;uk;semrush-volumes.csv;property;island_region;
cost of living in greece;170;0.88;uk;semrush-volumes.csv;life;country;
property for sale in greece under 50k;170;0.28;uk;semrush-fullsearch-uk.csv;property;country;
property for sale kos greece;170;0.46;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale naxos island greece;170;0.19;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale zante greece;170;0.14;uk;semrush-fullsearch-uk.csv;property;island_region;
property in crete greece;170;0.25;uk;semrush-fullsearch-uk.csv;property;island_region;
buy a house in greece;170;0.38;uk;fullsearch-uk-house.csv;property;country;
cheap houses for sale in greece;170;0.4;uk;fullsearch-uk-house.csv;property;country;
houses for sale in skopelos greece;170;0.06;uk;fullsearch-uk-house.csv;property;island_region;
moving from uk to greece;170;0.93;uk;fullsearch-uk-move.csv;life;country;
greece golden visa 2025;170;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
cost of living in athens greece;170;0.0;us;fullsearch-us-living.csv;life;city;
porto rafti greece real estate;170;0.0;us;fullsearch-us-realestate.csv;property;district;
santorini greece real estate;170;0.26;us;fullsearch-us-realestate.csv;property;island_region;
greece golden visa;170;1.62;au;secondary;visa;country;
homes for sale in greece;170;0.4;il;secondary;property;country;
apartments for sale in greece;140;0.33;us;semrush-volumes.csv;property;country;
greece property investment;140;1.87;us;semrush-volumes.csv;investment;country;
houses for sale in paros greece;140;0.4;us;semrush-volumes.csv;property;island_region;
naxos real estate;140;0.1;us;semrush-volumes.csv;property;island_region;
greece fip visa;140;1.63;us;semrush-volumes.csv;visa;country;
property for sale in mykonos greece;140;0.56;uk;semrush-volumes.csv;property;island_region;
houses for sale in santorini greece;140;0.26;uk;semrush-volumes.csv;property;island_region;
property for sale in paros greece;140;0.41;uk;semrush-volumes.csv;property;island_region;
houses for sale in zakynthos greece;140;0.14;uk;semrush-volumes.csv;property;island_region;
property for sale in kos greece;140;0.46;uk;semrush-volumes.csv;property;island_region;
buying a property in greece;140;0.29;uk;semrush-fullsearch-uk.csv;property;country;
cheap property in greece;140;0.42;uk;semrush-fullsearch-uk.csv;property;country;
lefkada greece property for sale;140;0.18;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale in greece kefalonia;140;0.16;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale in lindos rhodes greece;140;0.19;uk;semrush-fullsearch-uk.csv;property;district;
property for sale on skiathos greece;140;0.2;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale paxos greece;140;1.26;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale skiathos greece;140;0.2;uk;semrush-fullsearch-uk.csv;property;island_region;
property kefalonia greece;140;0.2;uk;semrush-fullsearch-uk.csv;property;island_region;
property sale peloponnese greece;140;0.24;uk;semrush-fullsearch-uk.csv;property;island_region;
house prices in greece;140;0.32;uk;fullsearch-uk-house.csv;investment;country;
houses for sale in paxos greece;140;1.54;uk;fullsearch-uk-house.csv;property;island_region;
golden visa program greece;140;3.32;us;fullsearch-us-goldenvisa.csv;visa;country;
american living in greece;140;0.94;us;fullsearch-us-living.csv;life;country;
americans living in greece;140;0.94;us;fullsearch-us-living.csv;life;country;
living expenses in athens greece;140;0.0;us;fullsearch-us-living.csv;life;city;
chania greece real estate;140;0.17;us;fullsearch-us-realestate.csv;property;district;
paros greece real estate;140;0.47;us;fullsearch-us-realestate.csv;property;island_region;
real estate for sale greece;140;0.18;us;fullsearch-us-realestate.csv;property;country;
buying property in greece;140;0.15;au;secondary;property;country;
houses for sale in crete greece;140;0.1;ca;secondary;property;island_region;
houses for sale in greece;140;0.4;il;secondary;property;country;
greece real estate;140;0.45;il;secondary;property;country;
golden visa greece;140;1.02;il;secondary;visa;country;
homes for sale in greece;140;0.13;de;secondary;property;country;
property for sale in greece;140;0.36;ae;secondary;property;country;
buy property in greece;140;0.36;ae;secondary;property;country;
buying property in greece;140;0.36;ae;secondary;property;country;
villas for sale in greece;110;0.33;us;semrush-volumes.csv;property;country;
property for sale in corfu greece;110;0.19;us;semrush-volumes.csv;property;island_region;
rhodes real estate;110;0.58;us;semrush-volumes.csv;property;island_region;
kefalonia real estate;110;0.29;us;semrush-volumes.csv;property;island_region;
thessaloniki real estate;110;0.31;us;semrush-volumes.csv;property;city;
greece golden visa requirements;110;1.98;us;semrush-volumes.csv;visa;country;
greece real estate;110;0.51;uk;semrush-volumes.csv;property;country;
greek islands property for sale;110;0.25;uk;semrush-volumes.csv;property;island_region;
real estate greece;110;0.25;uk;semrush-volumes.csv;property;country;
corfu real estate;110;0.27;uk;semrush-volumes.csv;property;island_region;
houses for sale in mykonos greece;110;0.38;uk;semrush-volumes.csv;property;island_region;
houses for sale in lefkada greece;110;0.4;uk;semrush-volumes.csv;property;island_region;
houses for sale in peloponnese greece;110;0.15;uk;semrush-volumes.csv;property;island_region;
property for sale in symi greece;110;0.25;uk;semrush-volumes.csv;property;island_region;
property for sale in parga greece;110;0.14;uk;semrush-volumes.csv;property;district;
greece retirement visa;110;0.65;uk;semrush-volumes.csv;visa;country;
greece citizenship by investment;110;1.28;uk;semrush-volumes.csv;visa;country;
retire in greece;110;0.43;uk;semrush-volumes.csv;life;country;
buy cheap property in greece;110;0.35;uk;semrush-fullsearch-uk.csv;property;country;
cheap properties for sale greece;110;0.44;uk;semrush-fullsearch-uk.csv;property;country;
for sale greece property;110;0.29;uk;semrush-fullsearch-uk.csv;property;country;
greece property for sale cheap;110;0.35;uk;semrush-fullsearch-uk.csv;property;country;
properties for sale crete greece;110;0.13;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale in greece under 100k;110;0.27;uk;semrush-fullsearch-uk.csv;property;country;
property for sale in paros island greece;110;0.41;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale naxos greece;110;0.19;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale peloponnese greece;110;0.24;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale rhodes greece;110;0.26;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale skopelos greece;110;0.08;uk;semrush-fullsearch-uk.csv;property;island_region;
property to buy greece;110;0.29;uk;semrush-fullsearch-uk.csv;property;country;
buy house in santorini greece;110;0.26;uk;fullsearch-uk-house.csv;property;island_region;
house for sale in corfu greece;110;0.26;uk;fullsearch-uk-house.csv;property;island_region;
house in greece price;110;0.34;uk;fullsearch-uk-house.csv;property;country;
houses to buy in greece;110;0.32;uk;fullsearch-uk-house.csv;property;country;
prices of houses in greece;110;0.34;uk;fullsearch-uk-house.csv;property;country;
golden visa greece 2025;110;2.97;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa minimum investment 2026;110;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa news october 2025;110;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa properties;110;2.56;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa requirements 2026;110;2.58;us;fullsearch-us-goldenvisa.csv;visa;country;
cost of living in greece in us dollars;110;0.0;us;fullsearch-us-living.csv;life;country;
living in athens greece;110;0.84;us;fullsearch-us-living.csv;life;city;
athens greece real estate for sale;110;0.2;us;fullsearch-us-realestate.csv;property;city;
greece real estate market news today;110;0.0;us;fullsearch-us-realestate.csv;news;country;
luxury real estate greece;110;0.53;us;fullsearch-us-realestate.csv;property;country;
luxury real estate in greece;110;0.53;us;fullsearch-us-realestate.csv;property;country;
real estate athens greece;110;0.15;us;fullsearch-us-realestate.csv;property;city;
real estate corfu greece;110;0.19;us;fullsearch-us-realestate.csv;property;island_region;
real estate corfu island greece;110;0.19;us;fullsearch-us-realestate.csv;property;island_region;
real estate greece crete chania;110;0.12;us;fullsearch-us-realestate.csv;property;district;
real estate in crete greece;110;0.16;us;fullsearch-us-realestate.csv;property;island_region;
real estate mykonos greece;110;0.31;us;fullsearch-us-realestate.csv;property;island_region;
real estate santorini island greece;110;0.26;us;fullsearch-us-realestate.csv;property;island_region;
houses for sale in crete greece;110;0.1;au;secondary;property;island_region;
real estate crete greece;110;0.13;au;secondary;property;island_region;
greek golden visa;110;0.97;au;secondary;visa;country;
real estate crete greece;110;0.14;ca;secondary;property;island_region;
greek golden visa;110;1.48;ca;secondary;visa;country;
living in greece;110;0.17;ca;secondary;life;country;
retire in greece;110;0.2;ca;secondary;life;country;
houses for sale in greece;110;0.13;de;secondary;property;country;
corfu greece real estate;110;0.23;de;secondary;property;island_region;
real estate crete greece;110;0.09;de;secondary;property;island_region;
greece golden visa;110;0.93;de;secondary;visa;country;
golden visa greece;110;0.93;de;secondary;visa;country;
greece citizenship by investment;110;2.57;ae;secondary;visa;country;
houses for sale in rhodes greece;90;0.37;us;semrush-volumes.csv;property;island_region;
property for sale in mykonos greece;90;0.28;us;semrush-volumes.csv;property;island_region;
houses for sale in naxos greece;90;0.07;us;semrush-volumes.csv;property;island_region;
property for sale in kefalonia greece;90;0.25;us;semrush-volumes.csv;property;island_region;
houses for sale in kefalonia greece;90;0.25;us;semrush-volumes.csv;property;island_region;
lefkada real estate;90;0.3;us;semrush-volumes.csv;property;island_region;
property for sale in athens greece;90;0.25;us;semrush-volumes.csv;property;city;
cost of living in crete;90;0.27;us;semrush-volumes.csv;life;island_region;
crete real estate;90;0.18;uk;semrush-volumes.csv;property;island_region;
houses for sale in paros greece;90;0.52;uk;semrush-volumes.csv;property;island_region;
property for sale in thessaloniki greece;90;0.19;uk;semrush-volumes.csv;property;city;
property for sale in samos greece;90;0.18;uk;semrush-volumes.csv;property;island_region;
greece property for sale by the beach;90;0.43;uk;semrush-fullsearch-uk.csv;property;country;
pitfalls of buying property in greece;90;0.84;uk;semrush-fullsearch-uk.csv;legal;country;
properties for sale in thassos greece;90;0.12;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale in greece beachfront;90;0.43;uk;semrush-fullsearch-uk.csv;property;country;
property for sale ithaca greece;90;0.25;uk;semrush-fullsearch-uk.csv;property;island_region;
property for sale samos greece;90;0.18;uk;semrush-fullsearch-uk.csv;property;island_region;
property in greece crete;90;0.14;uk;semrush-fullsearch-uk.csv;property;island_region;
property in skiathos greece;90;0.0;uk;semrush-fullsearch-uk.csv;property;island_region;
property rhodes greece;90;0.19;uk;semrush-fullsearch-uk.csv;property;island_region;
buy a house in santorini greece;90;0.23;uk;fullsearch-uk-house.csv;property;island_region;
buy cheap house in greece;90;0.4;uk;fullsearch-uk-house.csv;property;country;
buy house in athens greece;90;0.23;uk;fullsearch-uk-house.csv;property;city;
buy house in greece cheap;90;0.4;uk;fullsearch-uk-house.csv;property;country;
buying a house in greece;90;0.38;uk;fullsearch-uk-house.csv;property;country;
cheap houses for sale in crete greece;90;0.15;uk;fullsearch-uk-house.csv;property;island_region;
cheap houses to buy in greece;90;0.4;uk;fullsearch-uk-house.csv;property;country;
houses for sale in chania crete greece;90;0.13;uk;fullsearch-uk-house.csv;property;district;
greece golden visa applications decline;90;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa minimum investment 2026 official;90;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece vs portugal golden visa;90;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
bad things about living in greece;90;0.0;us;fullsearch-us-living.csv;life;country;
cost living in greece;90;0.75;us;fullsearch-us-living.csv;life;country;
cost of living in crete greece;90;0.3;us;fullsearch-us-living.csv;life;island_region;
living cost in greece;90;0.75;us;fullsearch-us-living.csv;life;country;
living expenses in greece;90;0.75;us;fullsearch-us-living.csv;life;country;
living in crete greece;90;0.86;us;fullsearch-us-living.csv;life;island_region;
what is the cost of living in greece;90;0.0;us;fullsearch-us-living.csv;life;country;
investing in real estate in greece;90;1.87;us;fullsearch-us-realestate.csv;investment;country;
naxos greece real estate;90;0.06;us;fullsearch-us-realestate.csv;property;island_region;
real estate agents in greece;90;1.25;us;fullsearch-us-realestate.csv;legal;country;
real estate for sale in greece;90;0.21;us;fullsearch-us-realestate.csv;property;country;
real estate tax greece;90;0.0;us;fullsearch-us-realestate.csv;money;country;
real estate in greece;90;0.14;au;secondary;property;country;
houses for sale in corfu greece;90;0.27;au;secondary;property;island_region;
property for sale in greece;90;0.57;il;secondary;property;country;
real estate crete greece;90;0.14;il;secondary;property;island_region;
greece real estate;90;0.12;de;secondary;property;country;
property greece;70;0.53;us;semrush-volumes.csv;property;country;
property for sale in santorini greece;70;0.2;us;semrush-volumes.csv;property;island_region;
houses for sale in lefkada greece;70;0.27;us;semrush-volumes.csv;property;island_region;
can foreigners buy property in greece;70;2.81;us;semrush-volumes.csv;property;country;
greece golden visa cost;70;1.98;us;semrush-volumes.csv;visa;country;
is greece a good place to retire;70;0.73;us;semrush-volumes.csv;life;country;
greek real estate;70;0.25;uk;semrush-volumes.csv;property;country;
greece villa for sale;70;0.44;uk;semrush-volumes.csv;property;country;
houses for sale in naxos greece;70;0.19;uk;semrush-volumes.csv;property;island_region;
houses for sale in kos greece;70;0.24;uk;semrush-volumes.csv;property;island_region;
property for sale in halkidiki greece;70;0.18;uk;semrush-volumes.csv;property;island_region;
houses for sale in halkidiki greece;70;0.16;uk;semrush-volumes.csv;property;island_region;
athens real estate;70;0.29;uk;semrush-volumes.csv;property;city;
houses for sale in athens greece;70;0.23;uk;semrush-volumes.csv;property;city;
cost of living in crete;70;0.0;uk;semrush-volumes.csv;life;island_region;
buy property greece;70;0.29;uk;semrush-fullsearch-uk.csv;property;country;
buying property in greece from uk;70;0.93;uk;semrush-fullsearch-uk.csv;property;country;
cheapest island in greece to buy property;70;0.88;uk;semrush-fullsearch-uk.csv;choice;country;
greece property sale;70;0.29;uk;semrush-fullsearch-uk.csv;property;country;
ikaria greece property for sale;70;0.0;uk;semrush-fullsearch-uk.csv;property;island_region;
ithaca greece property for sale;70;0.25;uk;semrush-fullsearch-uk.csv;property;island_region;
kefalonia greece property for sale;70;0.18;uk;semrush-fullsearch-uk.csv;property;island_region;
parga greece property for sale;70;0.2;uk;semrush-fullsearch-uk.csv;property;district;
properties for sale in corfu greece;70;0.33;uk;semrush-fullsearch-uk.csv;property;island_region;
properties for sale in kefalonia greece;70;0.18;uk;semrush-fullsearch-uk.csv;property;island_region;
buy house in greece island;70;0.2;uk;fullsearch-uk-house.csv;property;country;
cheap houses in greece;70;0.41;uk;fullsearch-uk-house.csv;property;country;
house in greece;70;0.49;uk;fullsearch-uk-house.csv;property;country;
house in greece for sale;70;0.3;uk;fullsearch-uk-house.csv;property;country;
houses for sale in greece by the sea;70;0.35;uk;fullsearch-uk-house.csv;property;country;
houses in crete greece for sale;70;0.13;uk;fullsearch-uk-house.csv;property;island_region;
traditional houses in greece;70;0.0;uk;fullsearch-uk-house.csv;property;country;
greece golden visa investment amount 2024;70;0.0;us;fullsearch-us-goldenvisa.csv;visa;country;
greece golden visa real estate;70;2.53;us;fullsearch-us-goldenvisa.csv;visa;country;
greece property for sale golden visa;70;2.66;us;fullsearch-us-goldenvisa.csv;visa;country;
average cost of living in greece;70;0.0;us;fullsearch-us-living.csv;life;country;
cost of living in greece per month;70;0.0;us;fullsearch-us-living.csv;life;country;
what is it like living in greece;70;0.0;us;fullsearch-us-living.csv;life;country;
greece crete real estate;70;0.16;us;fullsearch-us-realestate.csv;property;island_region;
greece real estate agency;70;0.0;us;fullsearch-us-realestate.csv;legal;country;
ikaria greece real estate;70;0.0;us;fullsearch-us-realestate.csv;property;island_region;
kalamata greece real estate;70;0.13;us;fullsearch-us-realestate.csv;property;district;
milos greece real estate;70;0.27;us;fullsearch-us-realestate.csv;property;island_region;
real estate agencies in greece;70;1.36;us;fullsearch-us-realestate.csv;legal;country;
real estate chania crete greece;70;0.17;us;fullsearch-us-realestate.csv;property;district;
real estate ikaria greece;70;0.0;us;fullsearch-us-realestate.csv;property;island_region;
real estate in greece for sale;70;0.18;us;fullsearch-us-realestate.csv;property;country;
real estate lefkada greece;70;0.3;us;fullsearch-us-realestate.csv;property;island_region;
real estate nafplio greece;70;0.28;us;fullsearch-us-realestate.csv;property;district;
real estate naxos greece;70;0.06;us;fullsearch-us-realestate.csv;property;island_region;
real estate rhodes greece;70;0.41;us;fullsearch-us-realestate.csv;property;island_region;
real estate santorini greece;70;0.21;us;fullsearch-us-realestate.csv;property;island_region;
real estate thessaloniki greece;70;0.32;us;fullsearch-us-realestate.csv;property;city;
syros greece real estate;70;0.26;us;fullsearch-us-realestate.csv;property;island_region;
property for sale in crete greece;70;0.12;au;secondary;property;island_region;
corfu greece real estate;70;0.25;au;secondary;property;island_region;
real estate in greece;70;0.21;ca;secondary;property;country;
buying property in greece;70;0.13;ca;secondary;property;country;
houses for sale in corfu greece;70;0.19;ca;secondary;property;island_region;
houses for sale in athens greece;70;0.15;ca;secondary;property;city;
greece golden visa;70;1.02;il;secondary;visa;country;
houses for sale in crete greece;70;0.08;il;secondary;property;island_region;
property for sale in greece;70;0.12;de;secondary;property;country;
buy property in greece;70;0.12;de;secondary;property;country;
buying property in greece;70;0.16;de;secondary;property;country;
houses for sale in crete greece;70;0.1;de;secondary;property;island_region;
houses for sale in corfu greece;70;0.22;de;secondary;property;island_region;
greek property;50;0.35;us;semrush-volumes.csv;property;country;
greece villa for sale;50;0.33;us;semrush-volumes.csv;property;country;
zakynthos real estate;50;0.29;us;semrush-volumes.csv;property;island_region;
